Data solution ID is 1635378410781933568 
Distance to 1107689245998976 is 1192904.59699493 AU 
Distance to 1127446095499392 is 422589.998326767 AU 
Distance to 1128511247388544 is 179723.527949961 AU 
Distance to 1145553677617536 is 1376846.08900973 AU 
Distance to 1145828555524608 is 916394.985711622 AU 
Distance to 1149711205959424 is 1144234.49259497 AU 
Distance to 1156892390864000 is 800050.532662244 AU 
Distance to 1164451533867648 is 703731.710602028 AU 
Distance to 1164692052035840 is 1090125.26081095 AU 
Distance to 1168609062209280 is 1019370.73659949 AU 
Distance to 1171701438920576 is 812138.271626106 AU 
Distance to 1174725095638144 is 963252.03737882 AU 
Distance to 1186991522234368 is 704960.430256741 AU 
Distance to 1199086149579520 is 1172856.00398676 AU 
Distance to 1202075446817152 is 880732.015191795 AU 
Distance to 1204377549284352 is 1220714.60126281 AU 
Distance to 1213001847039744 is 1318282.64508186 AU 
Distance to 1218946078350592 is 1161479.65678516 AU 
Distance to 1222622570352640 is 1277581.35802762 AU 
Distance to 1236881861774848 is 805057.161882911 AU 
Distance to 1243753810014080 is 655641.181951329 AU 
Distance to 1249148288371968 is 1135906.51312599 AU 
Distance to 1296358568895488 is 1053981.88817644 AU 
Distance to 1296942684447104 is 1397643.27085676 AU 
Distance to 1299760182992896 is 823927.853565759 AU 
Distance to 1302027926233088 is 1439112.32535849 AU 
Distance to 1341953941710080 is 1109131.99981963 AU 
Distance to 1344015526010368 is 1233777.61695791 AU 
Distance to 1371022280380288 is 1321915.54516764 AU 
Distance to 1375798284017536 is 1376253.07666359 AU 
Distance to 1385625169185792 is 1465368.82360165 AU 
Distance to 1402908117580160 is 477906.411144067 AU 
Distance to 1412185246935808 is 346845.909594594 AU 
Distance to 1414796587050368 is 946736.101371527 AU 
Distance to 1417476646642688 is 851987.156004769 AU 
Distance to 1428781000563200 is 271969.65376374 AU 
Distance to 1432801089951488 is 1061498.66010523 AU 
Distance to 1438676605210624 is 1174746.63323376 AU 
Distance to 1445101876286208 is 938707.164337308 AU 
Distance to 1468775736031232 is 1177191.60020683 AU 
Distance to 1487055116831488 is 1061289.77066354 AU 
Distance to 1492690114496128 is 1321454.65321484 AU 
Distance to 1504716022924544 is 903572.841613434 AU 
Distance to 1510385379757696 is 1258856.60931848 AU 
Distance to 1511484891386752 is 485341.521118678 AU 
Distance to 1512962359559680 is 1226050.54385017 AU 
Distance to 1546634903990400 is 238383.216986136 AU 
Distance to 1546703623466880 is 1146727.16195727 AU 
Distance to 1555190478029440 is 855958.533314254 AU 
Distance to 1555671514365824 is 1184106.78543417 AU 
Distance to 1555740233842304 is 1143171.62394588 AU 
Distance to 1564673765814272 is 1162128.27410406 AU 
Distance to 1564708125552384 is 506207.809399848 AU 
Distance to 1589172259268096 is 1279966.41965844 AU 
Distance to 1599755059174528 is 1407311.34485631 AU 
Distance to 1602916154610432 is 1240557.51031448 AU 
Distance to 1604565422050432 is 802929.542007165 AU 
Distance to 1607623438764288 is 904806.044758018 AU 
Distance to 1614048710332416 is 392781.46099185 AU 
Distance to 1622776083389952 is 484001.498694844 AU 
Distance to 1637550770887680 is 803593.692958916 AU 
Distance to 1667031426894464 is 987901.284604772 AU 
Distance to 1680363005379968 is 1150103.03925577 AU 
Distance to 1697955191218304 is 1185755.42089288 AU 
